day1,day2,day3,day4,day5,isBullish
311,311,313,315,312,0
315,312,314,316,320,0
289,290,290,292,298,0
298,304,303,305,306,0
303,306,305,303,303,0
305,304,309,309,311,0
303,303,300,302,309,0
320,323,321,324,323,0
321,324,323,328,324,0
324,323,328,324,320,0
323,328,324,320,323,0
317,316,315,313,318,0
308,307,302,302,303,0
302,303,305,298,304,0
298,304,306,304,307,0
302,305,314,311,300,0
307,300,305,302,296,0
300,305,302,296,297,0
296,297,294,290,285,0
297,294,290,285,289,0
294,290,285,289,285,0
285,289,285,290,289,0
290,289,290,284,282,0
290,284,282,280,279,0
291,289,282,286,280,0
289,282,286,280,282,1
280,282,284,282,290,0
287,288,290,296,305,0
288,290,296,305,308,0
321,320,321,321,321,1
321,321,321,330,334,0
338,338,335,338,338,0
335,338,338,339,334,0
339,334,338,344,341,0
350,346,345,353,355,1
346,345,353,355,355,1
353,355,355,359,364,0
375,374,377,378,377,0
339,340,338,339,337,0
340,344,344,341,341,0
333,334,330,335,342,0
330,335,342,346,349,0
335,342,346,349,347,0
347,345,344,345,342,0
369,367,367,369,371,0
367,369,371,370,361,0
357,356,352,351,371,0
351,371,377,377,375,0
379,383,385,387,393,0
383,385,387,393,391,0
390,391,394,396,403,0
391,394,396,403,396,0
396,398,400,395,395,1
395,395,400,401,403,0
416,416,417,414,413,0
407,404,406,407,406,0
406,405,405,406,401,0
401,397,400,406,403,0
397,391,387,389,395,0
387,389,395,395,395,0
395,391,397,391,383,0
391,383,400,400,404,0
383,400,400,404,407,0
404,407,404,401,409,0
412,410,415,423,431,0
443,458,452,455,454,0
454,453,445,441,437,0
445,441,437,441,434,0
434,429,430,432,440,0
432,440,445,440,436,0
435,433,437,438,440,0
459,455,448,455,452,0
445,446,445,443,441,0
433,425,424,428,423,0
440,444,444,448,446,0
444,444,448,446,444,0
438,436,433,427,428,0
433,427,428,434,436,1
449,444,506,502,504,0
502,504,516,513,508,0
515,514,513,511,511,0
514,513,511,511,504,0
508,505,506,516,518,0
518,517,516,513,511,0
513,511,517,516,523,0
517,516,523,529,532,0
529,532,530,527,527,0
532,530,527,527,529,0
527,527,529,529,535,0
529,535,539,542,539,0
539,542,539,535,530,1
530,537,535,542,543,0
535,542,543,550,558,0
542,543,550,558,556,0
550,558,556,559,559,0
570,571,565,565,562,0
565,562,575,574,578,0
575,582,583,580,562,0
568,591,567,569,572,0
567,569,572,580,589,0
569,572,580,589,587,0
601,602,602,606,610,0
608,601,608,609,610,0
609,610,608,606,600,0
610,608,606,600,604,0
606,600,604,595,586,0
604,595,586,596,606,0
606,600,599,592,579,0
599,592,579,579,566,0
545,540,557,567,546,0
557,567,546,537,545,0
522,536,534,538,533,0
535,522,518,520,526,0
541,534,529,528,538,1
570,570,571,564,554,0
571,564,554,553,564,0
550,560,564,566,574,0
566,574,572,585,584,0
584,591,590,593,590,0
594,593,590,580,605,0
593,590,580,605,598,0
590,580,605,598,603,0
573,582,573,574,571,0
571,577,577,572,584,0
577,577,572,584,584,0
592,597,595,592,592,0
597,595,592,592,590,0
592,592,590,588,583,0
588,583,580,582,588,0
580,582,588,589,593,0
582,588,589,593,597,0
593,597,601,591,593,0
601,591,593,591,584,0
597,591,598,585,587,0
579,580,586,587,574,0
574,583,570,555,544,0
542,553,548,549,558,0
515,498,506,514,520,0
538,536,541,537,535,0
536,541,537,535,530,0
535,530,529,519,506,0
500,497,501,505,504,1
541,536,521,512,513,0
521,512,513,537,532,0
533,526,529,533,529,0
526,529,533,529,540,0
540,538,546,551,545,0
538,546,551,545,542,0
551,545,542,546,541,1
541,535,538,547,559,0
559,562,575,578,578,0
562,575,578,578,581,0
575,578,578,581,572,0
581,572,574,559,555,0
557,566,563,564,565,0
543,544,548,548,548,0
544,548,548,548,548,0
548,548,548,539,541,0
548,548,539,541,543,1
541,543,532,544,542,0
549,557,573,566,564,0
566,564,561,548,551,0
561,548,551,552,543,0
546,549,552,556,554,0
552,556,554,547,554,0
545,549,553,555,551,0
549,553,555,551,549,0
543,544,546,556,557,0
557,559,563,558,557,0
547,545,550,541,544,1
541,544,556,571,584,1
658,659,661,664,657,0
664,663,690,691,686,0
686,689,694,688,694,0
618,612,659,667,659,0
629,644,637,628,643,0
671,660,666,653,653,0
624,622,638,642,656,0
671,670,667,671,676,0
670,667,671,676,683,0
680,693,695,699,680,1
699,680,671,681,719,0
671,681,719,731,732,0
747,748,755,760,761,0
771,762,783,777,768,0
768,779,772,775,762,0
762,760,776,769,756,0
767,768,765,782,793,0
793,790,778,759,761,0
726,745,733,733,717,0
745,733,733,717,748,0
733,733,717,748,761,0
749,730,703,704,701,0
725,732,744,750,750,0
762,760,757,754,753,0
760,757,754,753,765,0
757,754,753,765,768,0
762,769,765,758,768,0
787,776,774,780,737,0
774,780,737,742,725,0
